Korridor 1,Korridor 2,Fahrten
SBB IC/EC/ICE – Spiez Brig Interlaken,SBB IC/EC/ICE – Bern (z.B. Zürich),1.122703774
SBB IC/EC/ICE – Bern (z.B. Zürich),SBB IC/EC/ICE – Spiez Brig Interlaken,1.122703774
Münsingen/Wichtrach (z.B. Bus M15),Thunersee-Nordufer (z.B. Bus 21),1.1000607
Thunersee-Nordufer (z.B. Bus 21),Münsingen/Wichtrach (z.B. Bus M15),1.1000607
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),SBB IC/EC/ICE – Spiez Brig Interlaken,1.054291231
SBB IC/EC/ICE – Spiez Brig Interlaken,BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),1.054291231
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),BLS S41/S42 – Heimberg/Steffisburg,0.833507936
BLS S41/S42 – Heimberg/Steffisburg,Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.833507936
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),BLS S44/S4 – Gürbetal/Seftigen,0.833064802
BLS S44/S4 – Gürbetal/Seftigen,Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.833064802
Heiligenschwendi (z.B. Bus 31/32),BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),0.772492307
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),Heiligenschwendi (z.B. Bus 31/32),0.772492307
Heiligenschwendi (z.B. Bus 31/32),Blumenstein/Wattenwil (z.B. Bus 50/51),0.57293005
Blumenstein/Wattenwil (z.B. Bus 50/51),Heiligenschwendi (z.B. Bus 31/32),0.57293005
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),BLS S1 – Freiburg/Fribourg ↔ Bern,0.537692668
BLS S1 – Freiburg/Fribourg ↔ Bern,Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.537692668
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),HUB – Thun Bahnhof,0.457609427
HUB – Thun Bahnhof,Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.457609427
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),Spiez/Einigen (z.B. Bus 1),0.385468015
Spiez/Einigen (z.B. Bus 1),Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.385468015
Münsingen/Wichtrach (z.B. Bus M15),SBB IC/EC/ICE – Spiez Brig Interlaken,0.332275526
SBB IC/EC/ICE – Spiez Brig Interlaken,Münsingen/Wichtrach (z.B. Bus M15),0.332275526
Heiligenschwendi (z.B. Bus 31/32),Thunersee-Nordufer (z.B. Bus 21),0.327408914
Thunersee-Nordufer (z.B. Bus 21),Heiligenschwendi (z.B. Bus 31/32),0.327408914
Heiligenschwendi (z.B. Bus 31/32),Waldeck (z.B. Bus 4),0.314387939
Waldeck (z.B. Bus 4),Heiligenschwendi (z.B. Bus 31/32),0.314387939
BLS S41/S42 – Heimberg/Steffisburg,BLS S41/S42 – Heimberg/Steffisburg,0.284990632
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),Thunersee-Nordufer (z.B. Bus 21),0.230118026
Thunersee-Nordufer (z.B. Bus 21),Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.230118026
Münsingen/Wichtrach (z.B. Bus M15),Waldeck (z.B. Bus 4),0.225453292
Waldeck (z.B. Bus 4),Münsingen/Wichtrach (z.B. Bus M15),0.225453292
Münsingen/Wichtrach (z.B. Bus M15),BLS S41/S42 – Heimberg/Steffisburg,0.210414518
BLS S41/S42 – Heimberg/Steffisburg,Münsingen/Wichtrach (z.B. Bus M15),0.210414518
Münsingen/Wichtrach (z.B. Bus M15),Heiligenschwendi (z.B. Bus 31/32),0.179665973
Heiligenschwendi (z.B. Bus 31/32),Münsingen/Wichtrach (z.B. Bus M15),0.179665973
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),0.17161671
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.17161671
Stocken/Pohlern (z.B. Bus 3),Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.133606276
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),Stocken/Pohlern (z.B. Bus 3),0.133606276
Unassigned,BLS S41/S42 – Heimberg/Steffisburg,0.079117457
BLS S41/S42 – Heimberg/Steffisburg,Unassigned,0.079117457
SBB IC/EC/ICE – Bern (z.B. Zürich),BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),0.059023892
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),SBB IC/EC/ICE – Bern (z.B. Zürich),0.059023892
Blumenstein/Wattenwil (z.B. Bus 50/51),Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.053864443
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),Blumenstein/Wattenwil (z.B. Bus 50/51),0.053864443
Waldeck (z.B. Bus 4),Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),0.040038981
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),Waldeck (z.B. Bus 4),0.040038981
Steffisburg-Korridor (z.B. Bus 41/42/43),Heiligenschwendi (z.B. Bus 31/32),0.012061418
Heiligenschwendi (z.B. Bus 31/32),Steffisburg-Korridor (z.B. Bus 41/42/43),0.012061418
Münsingen/Wichtrach (z.B. Bus M15),SBB IC/EC/ICE – Bern (z.B. Zürich),6.61E-05
SBB IC/EC/ICE – Bern (z.B. Zürich),Münsingen/Wichtrach (z.B. Bus M15),6.61E-05
